word	frequency	definition
abrier	3000	couvrir (avec une couverture, un manteau)
caler	5000	enfoncer dans la neige, perdre ses cheveux
clairer	3000	congédier, mettre dehors
enfirouaper	3000	embobiner, tromper par de belles paroles
enfarger	3000	trébucher, s'empêtrer les pieds
garrocher	5000	lancer quelque chose sans précaution
pelleter	5000	déneiger à la pelle
chauffer	8000	conduire un véhicule

# --- Habitation ---
duplex	8000	maison à deux logements superposés
triplex	5000	maison à trois logements superposés
perron	5000	escalier extérieur d'entrée
galerie	10000	balcon couvert, véranda
cabanon	5000	petit abri de jardin, remise

# --- Administration / société ---
arrondissement	15000	division administrative municipale
garderie	10000	crèche, service de garde pour enfants
préposé	8000	employé affecté à un poste spécifique
préposée	8000	employée affectée à un poste spécifique
courriel	15000	courrier électronique (terme officiel OQLF)
courriels	8000	courriers électroniques
clavardage	8000	discussion en ligne en temps réel (chat)
clavarder	5000	discuter en ligne (chatter)
pourriel	5000	courrier électronique indésirable (spam)
téléroman	5000	feuilleton télévisé québécois

# --- Jurons (sacres, fréquents à l'oral, importants pour la dictée vocale) ---
tabarnak	10000	juron québécois majeur (de tabernacle)
câlice	8000	juron québécois (de calice)
crisse	8000	juron québécois (de Christ)
ostie	8000	juron québécois (de hostie)
tabarnouche	3000	version atténuée de tabarnak

# --- Divers ---
vidanges	8000	ordures ménagères, poubelles
foufounes	3000	fesses (familier)
bécosses	3000	toilettes extérieures, latrines
siffleux	3000	marmotte d'Amérique
draveur	3000	flotteur de bois sur les rivières (métier historique)
motoneige	8000	véhicule à chenilles pour la neige
motoneiges	5000	véhicules à chenilles
raquettes	8000	raquettes à neige pour marcher
érablière	5000	plantation d'érables à sucre
acériculture	3000	culture de l'érable et production de sirop
acériculteur	3000	producteur de sirop d'érable
